英雄名称	Hero name	头像URL	详情URL
冥魂大帝	Skeleton_King	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_skeleton_king.png"/>	<a href="http://www.dota2.com.cn/hero/wraith_king/">冥魂大帝详情</a>
凤凰	Phoenix	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_phoenix.png"/>	<a href="http://www.dota2.com.cn/hero/phoenix/">凤凰详情</a>
剃刀	Razor	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_razor.png"/>	<a href="http://www.dota2.com.cn/hero/razor/">剃刀详情</a>
剧毒术士	Venomancer	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_venomancer.png"/>	<a href="http://www.dota2.com.cn/hero/venomancer/">剧毒术士详情</a>
力丸	Riki	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_riki.png"/>	<a href="http://www.dota2.com.cn/hero/riki/">力丸详情</a>
半人马战行者	Centaur	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_centaur.png"/>	<a href="http://www.dota2.com.cn/hero/centaur_warrunner/">半人马战行者详情</a>
卓尔游侠	Drow_Ranger	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_drow_ranger.png"/>	<a href="http://www.dota2.com.cn/hero/drow_ranger/">卓尔游侠详情</a>
发条技师	Rattletrap	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_rattletrap.png"/>	<a href="http://www.dota2.com.cn/hero/clockwerk/">发条技师详情</a>
变体精灵	Morphling	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_morphling.png"/>	<a href="http://www.dota2.com.cn/hero/morphling/">变体精灵详情</a>
司夜刺客	Nyx_Assassin	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_nyx_assassin.png"/>	<a href="http://www.dota2.com.cn/hero/nyx_assassin/">司夜刺客详情</a>
哈斯卡	Huskar	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_huskar.png"/>	<a href="http://www.dota2.com.cn/hero/huskar/">哈斯卡详情</a>
噬魂鬼	Life_Stealer	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_life_stealer.png"/>	<a href="http://www.dota2.com.cn/hero/lifestealer/">噬魂鬼详情</a>
圣堂刺客	Templar_Assassin	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_templar_assassin.png"/>	<a href="http://www.dota2.com.cn/hero/templar_assassin/">圣堂刺客详情</a>
复仇之魂	Vengefulspirit	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_vengefulspirit.png"/>	<a href="http://www.dota2.com.cn/hero/vengeful_spirit/">复仇之魂详情</a>
大地之灵	Earth_Spirit	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_earth_spirit.png"/>	<a href="http://www.dota2.com.cn/hero/earth_spirit/">大地之灵详情</a>
天怒法师	Skywrath_Mage	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_skywrath_mage.png"/>	<a href="http://www.dota2.com.cn/hero/Skywrath_Mage/">天怒法师详情</a>
天涯墨客	Grimstroke	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_grimstroke.png"/>	<a href="http://www.dota2.com.cn/hero/grimstroke/">天涯墨客详情</a>
天穹守望者	Arc_Warden	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_arc_warden.png"/>	<a href="http://www.dota2.com.cn/hero/arc_warden/">天穹守望者详情</a>
娜迦海妖	Naga_Siren	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_naga_siren.png"/>	<a href="http://www.dota2.com.cn/hero/naga_siren/">娜迦海妖详情</a>
孽主	Abyssal_Underlord	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_abyssal_underlord.png"/>	<a href="http://www.dota2.com.cn/hero/abyssal_underlord/">孽主详情</a>
宙斯	Zuus	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_zuus.png"/>	<a href="https://www.dota2.com.cn/hero/zuus">宙斯详情</a>
寒冬飞龙	Winter_Wyvern	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_winter_wyvern.png"/>	<a href="http://www.dota2.com.cn/hero/winter_wyvern/">寒冬飞龙详情</a>
小小	Tiny	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_tiny.png"/>	<a href="http://www.dota2.com.cn/hero/tiny/">小小详情</a>
工程师	Techies	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_techies.png"/>	<a href="http://www.dota2.com.cn/hero/techies/">工程师详情</a>
巨牙海民	Tusk	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_tusk.png"/>	<a href="http://www.dota2.com.cn/hero/tusk/">巨牙海民详情</a>
巨魔战将	Troll_Warlord	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_troll_warlord.png"/>	<a href="http://www.dota2.com.cn/hero/troll_warlord/">巨魔战将详情</a>
巫医	Witch_Doctor	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_witch_doctor.png"/>	<a href="http://www.dota2.com.cn/hero/witch_doctor/">巫医详情</a>
巫妖	Lich	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_lich.png"/>	<a href="http://www.dota2.com.cn/hero/lich/">巫妖详情</a>
帕克	Puck	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_puck.png"/>	<a href="http://www.dota2.com.cn/hero/puck/">帕克详情</a>
帕吉	Pudge	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_pudge.png"/>	<a href="http://www.dota2.com.cn/hero/pudge/">帕吉详情</a>
帕格纳	Pugna	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_pugna.png"/>	<a href="http://www.dota2.com.cn/hero/pugna/">帕格纳详情</a>
干扰者	Disruptor	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_disruptor.png"/>	<a href="http://www.dota2.com.cn/hero/disruptor/">干扰者详情</a>
幻影刺客	Phantom_Assassin	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_phantom_assassin.png"/>	<a href="http://www.dota2.com.cn/hero/phantom_assassin/">幻影刺客详情</a>
幻影长矛手	Phantom_Lancer	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_phantom_lancer.png"/>	<a href="http://www.dota2.com.cn/hero/phantom_lancer/">幻影长矛手详情</a>
幽鬼	Spectre	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_spectre.png"/>	<a href="http://www.dota2.com.cn/hero/spectre/">幽鬼详情</a>
影魔	Nevermore	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_nevermore.png"/>	<a href="https://www.dota2.com.cn/hero/nevermore">影魔详情</a>
德鲁伊	Lone_Druid	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_lone_druid.png"/>	<a href="http://www.dota2.com.cn/hero/lone_druid/">德鲁伊详情</a>
恐怖利刃	Terrorblade	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_terrorblade.png"/>	<a href="http://www.dota2.com.cn/hero/terrorblade/">恐怖利刃详情</a>
戴泽	Dazzle	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_dazzle.png"/>	<a href="http://www.dota2.com.cn/hero/dazzle/">戴泽详情</a>
拉席克	Leshrac	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_leshrac.png"/>	<a href="http://www.dota2.com.cn/hero/leshrac/">拉席克详情</a>
拉比克	Rubick	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_rubick.png"/>	<a href="http://www.dota2.com.cn/hero/rubick/">拉比克详情</a>
撼地者	Earthshaker	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_earthshaker.png"/>	<a href="http://www.dota2.com.cn/hero/earthshaker/">撼地者详情</a>
敌法师	Antimage	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_antimage.png"/>	<a href="https://www.dota2.com.cn/hero/antimage">敌法师详情</a>
斧王	Axe	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_axe.png"/>	<a href="http://www.dota2.com.cn/hero/axe/">斧王详情</a>
斯拉克	Slark	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_slark.png"/>	<a href="http://www.dota2.com.cn/hero/slark/">斯拉克详情</a>
斯拉达	Slardar	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_slardar.png"/>	<a href="http://www.dota2.com.cn/hero/slardar/">斯拉达详情</a>
斯温	Sven	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_sven.png"/>	<a href="http://www.dota2.com.cn/hero/sven/">斯温详情</a>
昆卡	Kunkka	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_kunkka.png"/>	<a href="http://www.dota2.com.cn/hero/kunkka/">昆卡详情</a>
暗夜魔王	Night_Stalker	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_night_stalker.png"/>	<a href="http://www.dota2.com.cn/hero/night_stalker/">暗夜魔王详情</a>
暗影恶魔	Shadow_Demon	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_shadow_demon.png"/>	<a href="http://www.dota2.com.cn/hero/shadow_demon/">暗影恶魔详情</a>
暗影萨满	Shadow_Shaman	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_shadow_shaman.png"/>	<a href="http://www.dota2.com.cn/hero/shadow_shaman/">暗影萨满详情</a>
末日使者	Doom_Bringer	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_doom_bringer.png"/>	<a href="http://www.dota2.com.cn/hero/doom/">末日使者详情</a>
术士	Warlock	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_warlock.png"/>	<a href="http://www.dota2.com.cn/hero/warlock/">术士详情</a>
杰奇洛	Jakiro	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_jakiro.png"/>	<a href="http://www.dota2.com.cn/hero/jakiro/">杰奇洛详情</a>
树精卫士	Treant	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_treant.png"/>	<a href="http://www.dota2.com.cn/hero/treant_protector/">树精卫士详情</a>
森海飞霞	Hoodwink	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_hoodwink.png"/>	<a href="https://www.dota2.com.cn/hero/hoodwink">森海飞霞详情</a>
死亡先知	Death_Prophet	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_death_prophet.png"/>	<a href="http://www.dota2.com.cn/hero/death_prophet/">死亡先知详情</a>
殁境神蚀者	Obsidian_Destroyer	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_obsidian_destroyer.png"/>	<a href="http://www.dota2.com.cn/hero/Outworld_Devourer/">殁境神蚀者详情</a>
水晶室女	Crystal_Maiden	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_crystal_maiden.png"/>	<a href="http://www.dota2.com.cn/hero/crystal_maiden/">水晶室女详情</a>
沉默术士	Silencer	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_silencer.png"/>	<a href="http://www.dota2.com.cn/hero/silencer/">沉默术士详情</a>
沙王	Sand_King	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_sand_king.png"/>	<a href="http://www.dota2.com.cn/hero/sand_king/">沙王详情</a>
混沌骑士	Chaos_Knight	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_chaos_knight.png"/>	<a href="http://www.dota2.com.cn/hero/chaos_knight/">混沌骑士详情</a>
潮汐猎人	Tidehunter	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_tidehunter.png"/>	<a href="http://www.dota2.com.cn/hero/tidehunter/">潮汐猎人详情</a>
灰烬之灵	Ember_Spirit	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_ember_spirit.png"/>	<a href="http://www.dota2.com.cn/hero/ember_spirit/">灰烬之灵详情</a>
炼金术士	Alchemist	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_alchemist.png"/>	<a href="http://www.dota2.com.cn/hero/alchemist/">炼金术士详情</a>
熊战士	Ursa	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_ursa.png"/>	<a href="http://www.dota2.com.cn/hero/ursa/">熊战士详情</a>
狙击手	Sniper	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_sniper.png"/>	<a href="http://www.dota2.com.cn/hero/sniper/">狙击手详情</a>
狼人	Lycan	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_lycan.png"/>	<a href="http://www.dota2.com.cn/hero/lycan/">狼人详情</a>
獸	Primal_Beast	<img src="https://img.dota2.com.cn/dota2static/file/b8b45eb4-e255-424a-8fcb-47f8462f879e.png"/>	<a href="https://www.dota2.com.cn/hero/primal_beast">獸详情</a>
玛尔斯	Mars	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_mars.png"/>	<a href="http://www.dota2.com.cn/hero/mars/">Mars详情</a>
玛西	Marci	<img src="https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/marci.png"/>	<a href="https://www.dota2.com.cn/hero/marci">玛西详情</a>
电炎绝手	Snapfire	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_snapfire.png"/>	<a href="https://www.dota2.com.cn/hero/snapfire">电炎绝手详情</a>
痛苦女王	Queenofpain	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_queenofpain.png"/>	<a href="http://www.dota2.com.cn/hero/queen_of_pain/">痛苦女王详情</a>
瘟疫法师	Necrolyte	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_necrolyte.png"/>	<a href="http://www.dota2.com.cn/hero/necrophos/">瘟疫法师详情</a>
矮人直升机	Gyrocopter	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_gyrocopter.png"/>	<a href="http://www.dota2.com.cn/hero/gyrocopter/">矮人直升机详情</a>
石鳞剑士	Pangolier	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_pangolier.png"/>	<a href="http://www.dota2.com.cn/hero/pangolier/">石鳞剑士详情</a>
破晓辰星	Dawnbreaker	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_dawnbreaker.png"/>	<a href="https://www.dota2.com.cn/hero/dawnbreaker">破晓辰星详情</a>
祈求者	Invoker	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_invoker.png"/>	<a href="http://www.dota2.com.cn/hero/invoker/">祈求者详情</a>
神谕者	Oracle	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_oracle.png"/>	<a href="http://www.dota2.com.cn/hero/oracle/">神谕者详情</a>
祸乱之源	Bane	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_bane.png"/>	<a href="http://www.dota2.com.cn/hero/bane/">祸乱之源详情</a>
米拉娜	Mirana	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_mirana.png"/>	<a href="http://www.dota2.com.cn/hero/mirana/">米拉娜详情</a>
米波	Meepo	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_meepo.png"/>	<a href="http://www.dota2.com.cn/hero/meepo/">米波详情</a>
维萨吉	Visage	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_visage.png"/>	<a href="http://www.dota2.com.cn/hero/visage/">维萨吉详情</a>
编织者	Weaver	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_weaver.png"/>	<a href="http://www.dota2.com.cn/hero/weaver/">编织者详情</a>
美杜莎	Medusa	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_medusa.png"/>	<a href="http://www.dota2.com.cn/hero/medusa/">美杜莎详情</a>
育母蜘蛛	Broodmother	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_broodmother.png"/>	<a href="http://www.dota2.com.cn/hero/broodmother/">育母蜘蛛详情</a>
艾欧	Wisp	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_wisp.png"/>	<a href="http://www.dota2.com.cn/hero/Io/">艾欧详情</a>
莉娜	Lina	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_lina.png"/>	<a href="http://www.dota2.com.cn/hero/lina/">莉娜详情</a>
莱恩	Lion	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_lion.png"/>	<a href="http://www.dota2.com.cn/hero/lion/">莱恩详情</a>
虚无之灵	Void_Spirit	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_void_spirit.png"/>	<a href="https://www.dota2.com.cn/hero/void_spirit">虚无之灵详情</a>
虚空假面	Faceless_Void	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_faceless_void.png"/>	<a href="http://www.dota2.com.cn/hero/faceless_void/">虚空假面详情</a>
蝙蝠骑士	Batrider	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_batrider.png"/>	<a href="http://www.dota2.com.cn/hero/batrider/">蝙蝠骑士详情</a>
血魔	Bloodseeker	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_bloodseeker.png"/>	<a href="http://www.dota2.com.cn/hero/bloodseeker/">血魔详情</a>
裂魂人	Spirit_Breaker	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_spirit_breaker.png"/>	<a href="http://www.dota2.com.cn/hero/spirit_breaker/">裂魂人详情</a>
谜团	Enigma	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_enigma.png"/>	<a href="http://www.dota2.com.cn/hero/enigma/">谜团详情</a>
赏金猎人	Bounty_Hunter	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_bounty_hunter.png"/>	<a href="http://www.dota2.com.cn/hero/bounty_hunter/">赏金猎人详情</a>
远古冰魄	Ancient_Apparition	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_ancient_apparition.png"/>	<a href="http://www.dota2.com.cn/hero/ancient_apparition/">远古冰魄详情</a>
邪影芳灵	Dark_Willow	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_dark_willow.png"/>	<a href="http://www.dota2.com.cn/hero/dark_willow/">邪影芳灵详情</a>
酒仙	Brewmaster	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_brewmaster.png"/>	<a href="http://www.dota2.com.cn/hero/brewmaster/">酒仙详情</a>
钢背兽	Bristleback	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_bristleback.png"/>	<a href="http://www.dota2.com.cn/hero/bristleback/">钢背兽详情</a>
陈	Chen	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_chen.png"/>	<a href="http://www.dota2.com.cn/hero/chen/">陈详情</a>
露娜	Luna	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_luna.png"/>	<a href="http://www.dota2.com.cn/hero/luna/">露娜详情</a>
风暴之灵	Storm_Spirit	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_storm_spirit.png"/>	<a href="http://www.dota2.com.cn/hero/storm_spirit/">风暴之灵详情</a>
风行者	Windrunner	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_windrunner.png"/>	<a href="http://www.dota2.com.cn/hero/windranger/">风行者详情</a>
食人魔魔法师	Ogre_Magi	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_ogre_magi.png"/>	<a href="http://www.dota2.com.cn/hero/ogre_magi/">食人魔魔法师详情</a>
马格纳斯	Magnataur	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_magnataur.png"/>	<a href="http://www.dota2.com.cn/hero/magnus/">马格纳斯详情</a>
魅惑魔女	Enchantress	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_enchantress.png"/>	<a href="http://www.dota2.com.cn/hero/enchantress/">魅惑魔女详情</a>
黑暗贤者	Dark_Seer	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_dark_seer.png"/>	<a href="http://www.dota2.com.cn/hero/dark_seer/">黑暗贤者详情</a>
齐天大圣	Monkey_King	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_monkey_king.png"/>	<a href="http://www.dota2.com.cn/hero/monkey_king/">齐天大圣详情</a>
龙骑士	Dragon_Knight	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_dragon_knight.png"/>	<a href="http://www.dota2.com.cn/hero/dragon_knight/">龙骑士详情</a>
